"Country","Total","Diarrhoea","HIV","Infections","Injury","Malaria","Measles","Meningitis","NCD","Pertussis","Pneumonia"
"Saudi Arabia",5527,597,0,1135,880,0,0,47,2125,0,743
"Senegal",32897,7017,710,5756,804,9167,1458,461,872,350,6302
"Serbia",323,3,0,87,26,0,0,9,158,0,40
"Sierra Leone",32711,8699,638,5034,1045,5520,2027,621,1098,1050,6979
"Singapore",63,0,0,8,5,0,0,1,37,0,12
"Slovak Republic",230,1,0,33,31,0,0,4,119,0,42
"Slovenia",20,0,0,6,3,0,0,0,11,0,0
"Solomon Islands",328,21,0,63,16,34,3,26,50,1,114
"Somalia",51955,15636,165,6937,1808,4440,3848,1317,1765,2991,13048
"South Africa",51238,6187,33149,3213,1258,51,1,607,2645,1,4126
"Spain",1097,0,4,239,133,0,0,47,640,1,33
"Sri Lanka",3073,202,6,546,990,0,33,33,888,6,369
"Sudan",85826,13870,3350,10946,3650,34434,7,2481,2784,1184,13120
"Suriname",144,14,6,31,20,2,0,7,40,0,24
"Swaziland",2236,237,1407,168,25,1,0,63,53,17,265
"Sweden",164,3,1,21,10,0,0,5,116,0,8
"Switzerland",120,0,0,25,18,0,0,1,73,0,3
"Syria",4932,449,0,1129,684,0,1,128,1756,1,784
"Tajikistan",7715,2249,27,1906,355,0,5,374,454,9,2336
"Tanzania",115717,19185,14889,14977,5733,28745,0,5414,3248,1507,22019
"Thailand",4064,266,273,791,599,70,15,37,1520,15,478
"Togo",12966,2223,1152,1395,316,5130,20,375,264,164,1927
"Tonga",31,4,0,7,4,0,0,0,10,0,6
"Trinidad and Tobago",212,0,38,13,55,0,0,0,89,0,17
"Tunisia",1527,167,0,314,192,0,0,152,467,0,235
"Turkey",10552,389,0,1908,1410,0,45,706,3565,32,2497
"Turkmenistan",3014,665,0,799,150,0,1,127,178,2,1092
"Uganda",144984,29677,9542,15894,6586,42549,4060,4101,2562,6472,23541
"Ukraine",3464,45,64,495,864,0,0,152,1785,3,56
"United Arab Emirates",167,4,0,26,33,0,0,4,92,0,8
"United Kingdom",1925,4,1,468,167,0,0,69,1097,5,114
"United States",15977,32,6,3791,3835,0,1,161,7328,37,786
"Uruguay",396,16,1,81,74,0,0,7,169,0,48
"Uzbekistan",10308,2493,47,2533,515,0,0,630,588,9,3493
"Vanuatu",135,15,0,23,8,5,3,9,28,0,44
"Venezuela",4882,761,31,666,984,1,0,105,1534,10,790
"Vietnam",7852,471,682,1408,908,28,376,715,2240,44,980
"Yemen, Rep.",29553,11059,0,3135,1358,263,446,1124,1371,3407,7390
"Zambia",57258,10869,9179,9093,2262,11709,400,1528,1452,568,10198
"Zimbabwe",24825,3158,7541,2133,631,1222,2680,796,570,1808,4286
