"Country","Total","Agriculture_Land","Child_per_Women","Energy_Consumption_per_Person","Energy_Production_per_Person","GDP_per_Person","Health_Spending_per_Person","Water_per_Person","Years_in_School"
"Ecuador",13.6448285316498,29.9766468030279,2.728,0.784493844234154,0.002030823789869,7091.73586355785,270.06460048,32146.65,8.4
"Egypt",8.74950684462442,3.55818976342358,2.954,0.917523723273246,0.00111700021876,5762.2594433321,101.23318902,772.58,7.8
"El Salvador",10.6083515635053,74.9517374517375,2.319,0.733985161905421,0.000507348406787,5827.17660993382,215.93487107,3730.968,7.3
"Eritrea",39.5783436971282,74.970297029703,5.163,0.13688552307307,0.000110275630968,562.014933000928,10.65961855,1342.67,3.8
"Estonia",2.8869084975524,21.3965557914602,1.619,4.05787234042553,0.003148217964527,18983.7765250644,1057.76180424,9558.4086,11
"Ethiopia",64.6082073266539,34.513,5.193,0.395909373838486,0.000372341011368,765.941212073413,14.04323536,1505.78,2.2
"Finland",1.50821894594137,7.55511681474169,1.85,6.63882253149067,0.003105915655412,33162.4027330664,4253.8644363,20907.6,11.8
"France",1.87565348565591,53.5350399883139,1.973,4.11362153930258,0.002210556443689,30459.7213215217,4940.96210783,3321.38,10.4
"Gabon",48.8051586799848,19.9479954981178,4.275,1.37170880708262,0.009315025063607,12453.3906250536,263.33276432,125112.52,7.5
"Georgia",11.8833135278108,36.3073823571737,1.788,0.685393389146155,0.000245451884812,4345.65577490643,261.87692087,14286.097,12.4
"Germany",1.88766515192926,48.5385652410865,1.368,4.06895399234518,0.001619068047682,33157.2439621593,4718.15917267,1863.48,12.3
"Ghana",42.3679636226645,68.1198910081744,4.188,0.385049356572956,0.000294805842253,1391.187032899,68.51149554,2312.19,7.7
"Greece",1.71524978910863,63.8401861908456,1.459,2.7069802922357,0.000873416894214,27256.4673706908,3078.40821387,6675.65,10.6
"Guatemala",23.5208610398045,39.3617021276596,4.119,0.595795468008332,0.000393332961309,5261.71061883662,198.5067007,8540.46,4.9
"Haiti",45.5077896216469,64.2235123367199,3.5,0.284842587537072,0.000204309384684,1191.83611868498,35.33440734,1484.7637,4.5
"Honduras",15.0340125928462,28.4565197962284,3.273,0.636409173431021,0.00028455476039,3620.99921333898,115.68858452,13765.7208,5.8
"Hungary",3.08322684030102,64.6133244057583,1.333,2.63577998339939,0.001047357353696,17922.2716764316,1118.72597813,10339.58,11.2
"India",30.6938969879138,60.4428240374816,2.643,0.525737714602009,0.000393236635946,2605.77092476447,43.12475092,1646.761,6.1
"Indonesia",22.0145042867794,28.7043834905634,2.479,0.795563970713674,0.001378172511551,3686.60305387481,53.36093578,12400.35,7.2
"Iran",13.9976046109078,29.6546007184305,1.88,2.81920322057108,0.004769087429561,11679.1893016507,276.56244084,1956.9468,7.2
"Iraq",19.566552973328,21.6064201934289,4.343,0.942801998204537,0.003955705711546,3496.68419227387,160.73176522,2652.438,6.1
"Ireland",2.25756501353092,60.9667586006677,2.002,3.37930506997451,0.000348353475618,38163.91179621,5241.04343506,12318.71,11.1
"Israel",2.40900122951992,23.7985212569316,2.916,3.13097526269702,0.000549924820129,26036.3923440958,2073.08312967,261.38,12.5
"Italy",1.98571166880381,49.1160671788944,1.392,2.94163598821965,0.000450335597824,27950.9520435783,3471.67858616,3254.57,10.6
"Jamaica",22.8435114503817,41.4589104339797,2.387,1.58665972015481,0.000181491110113,7274.02173559466,272.32557757,3484.766,9.8
"Japan",2.28167406590643,12.6968449931413,1.343,3.87890711210076,0.000700872285069,31079.6707954382,3253.10202246,3360.6,12.1
"Jordan",6.86367604978555,11.0154125113327,3.586,1.22152652496976,4.7101087511e-05,5037.16615728507,329.55214282,163.5548,10.4
"Kazakhstan",15.1019174012213,76.9715153535578,2.51,4.47904226611218,0.009084521867771,10477.1827452162,329.80684978,7157.341,11.8
"Kenya",92.2099286862794,47.7914045753242,4.761,0.461009577376067,0.000393453557051,1436.09866877488,32.99259206,839.86,7.5
"Kuwait",5.07466733812392,8.47362514029181,2.681,10.9350650675672,0.060153133536157,45620.5963949171,1116.62940353,7.197,7.4
"Latvia",4.06416187470275,29.34555394758,1.501,1.97895850745821,0.000787664923974,15987.0100149469,974.29906376,15486.0326,11.9
"Lebanon",5.47492303259172,67.1554252199414,1.57,1.30190752631143,3.9791068452e-05,12016.9832476878,555.76301814,1110.3984,8.7
"Lithuania",3.81970970206264,42.6360299984043,1.417,2.80839548377587,0.001146803722485,17445.1557543887,934.40671484,7306.02,12.2
"Luxembourg",1.6507703595011,50.5791505791506,1.626,8.6097963777755,0.000208005242604,73998.7104751099,8054.81635894,6719.3,11.5
"Macedonia, FYR",4.54075439464101,42.1323820848197,1.473,1.4668213380209,0.000791222416888,8601.9909002895,326.64042808,3142.83,10.6
"Malaysia",3.21629833300946,23.9537361132248,2.052,2.65458089460231,0.003385857389031,12969.6741467774,306.35306225,22210.53,8.2
"Mexico",10.5601765073415,52.9344890557885,2.346,1.63692824866747,0.00210930015033,11870.9570323346,597.703288,4340.3532,8.2
"Moldova",9.90407513743295,75.4332623897841,1.487,0.798450858755774,2.7942875205e-05,2769.37034345943,193.56839177,3039.625,11.2
"Mongolia",27.2371973085136,74.5545714359278,2.368,1.18311481199067,0.001914705447926,3300.27451367588,120.31288077,13360.82,9
"Morocco",13.1564495994283,67.1767869146314,2.443,0.478550723684498,2.0217165532e-05,4011.37704345564,147.36903771,939.94,4.6
"Mozambique",83.1204599206616,62.3744245784481,5.536,0.420605250549638,0.000516198836694,872.109691194885,18.09859681,10352.646,3.5
"Myanmar",73.0046621463918,18.7859591137226,2.049,0.318153625007579,0.00048660132742,1445.05661058846,10.65229369,21612.6118,5
"Namibia",23.6802233533648,47.1377036038334,3.364,0.738270658991775,0.000147017253963,5025.94060935855,275.23664539,8656.0097,6.8
"Netherlands",1.7776673114538,57.1386255924171,1.773,4.8371668932826,0.004035977309457,37692.2980578829,5236.86553894,5555.89,11.7
"New Zealand",1.99104031856645,43.1962325775702,2.123,4.07914216777156,0.003503843907009,25160.5345750121,2820.19798906,78993.42,12.4
"Nicaragua",14.8889047653068,42.7621738407844,2.717,0.540914089187318,0.000300124548028,2904.07317946706,105.21340786,35552.613,5.6
"Nigeria",129.142374815297,85.0928335364582,6.017,0.738125378611314,0.001514915681224,2100.10575071392,79.29829413,1977.61,6.6
"Norway",1.89429816253078,3.35221134644973,1.96,6.25002516666625,0.045823006642242,48321.9058439174,8070.92644725,81822.22,13.5
"Oman",4.36702569701315,5.7092084006462,2.886,6.02556956620172,0.024056725862289,24358.5450044704,479.01366884,549.81,6.6
"Pakistan",33.8651558358165,34.0909090909091,3.581,0.487399250194058,0.000377815318281,2660.74984002263,22.06499551,1399.687,5.3
"Panama",13.1018063099668,29.9973096583266,2.608,0.914719768488769,0.000204879689839,10674.4244869141,493.08817356,45012.407,9.2
"Paraguay",12.8769048579571,52.4465139692927,3.063,0.697873694151848,0.001208979843801,4318.76231813703,162.0668094,55853.83,6.8
"Peru",11.6938801315705,16.7421875,2.579,0.528553397356276,0.00044437739523,7912.55775926635,256.32945861,69340.29,9.6
"Philippines",17.8781564191089,39.5747392427139,3.257,0.44369547787396,0.000254834136361,3228.11859624304,64.67885035,5552.74,8.8
"Poland",2.91214666043403,53.099730458221,1.334,2.56761348672429,0.001867107969965,16210.6003726298,972.5138999,1615.09,12.3
"Portugal",1.81587071000545,40.8002623811086,1.358,2.29987941534565,0.000421913277137,20601.2286182922,2383.88095707,6494.2,7.5
"Qatar",4.33940850524067,5.52200172562554,2.203,15.3104307837772,0.095367656117932,73806.5681349922,1635.51268344,70.6186,7.7
"Romania",6.54947215655064,58.9212701174424,1.34,1.83841897937967,0.001340226037197,11590.7804628416,516.84724414,9842.682,12.1
"Russia",4.89853813903436,13.1584362579663,1.446,4.85017759070095,0.008758698749887,14756.2168715368,560.70749417,31470.529,12.6
"Saudi Arabia",9.35791528606234,80.7232670757179,2.971,5.88824579266753,0.02213965133237,23293.7748532448,581.01746674,99.27,8.3
"Senegal",69.9624008982953,48.3249363735522,5.107,0.261036726264755,0.000104380432782,1723.33796731707,65.58605669,3213.92,3.2
"Singapore",1.69423154497781,0,1.28,4.92368992023805,6.775468671e-06,44103.9681300732,1434.29888612,136.92,8
"Slovak Republic",4.20374515477425,40.2702702702703,1.309,3.38548847284795,0.001179875632753,20044.241683273,1398.66914518,9298.23,12.7
"Slovenia",1.0270631130283,24.428997020854,1.434,3.82902574362445,0.00181952677968,26755.7402528574,2257.5292104,15928.381,11.9
"South Africa",46.9484041281096,81.8282872364076,2.538,3.02759624111825,0.003284120660682,9385.98429139242,481.77771676,1035.57,8.4
"Spain",2.23295615304604,56.4194065757819,1.419,3.05189880014179,0.000674164002695,28204.1788697614,3131.31302629,2540.62,8.9
"Sri Lanka",8.40809782177459,42.1782809759209,2.323,0.442296285304447,0.0002477254954,4142.53174537974,67.73599135,2603.15,9.1
"Sudan",66.224986708705,56.8371212121212,4.792,0.36427407931,0.000823217208601,2535.41404842076,96.75328571,1710.53,5.5
"Sweden",1.53784496658682,7.53765170346542,1.917,5.3799591025113,0.00359787664049,33563.3383888872,4865.99115069,19166.84,12.3
"Switzerland",1.65366700658711,38.125,1.472,3.50133367330594,0.001690749252232,38181.484831268,6998.97074141,7176.58,13.4
"Syria",8.35624863397699,75.6806795905032,3.173,1.17385156038036,0.00120615809917,4373.58162307192,89.88517194,865.4875,7.3
"Tajikistan",40.0031114683538,33.7739354101172,3.703,0.369288802250525,0.000222377296524,1650.42895299145,43.07761038,2406.685,11.5
"Tanzania",65.3261622481544,39.4558591104087,5.543,0.448657102366213,0.000413324728805,1149.13887173643,26.75674493,2439.765,5.6
"Thailand",4.16042619799083,38.6247528822251,1.477,1.57695718909635,0.000943237123957,7652.23167390354,158.41721834,6461.5144,7
"Togo",60.9397840668199,62.6034197462769,4.876,0.443614905527021,0.00037013074802,897.758461395814,37.45616559,2293.13,5.1
"Trinidad and Tobago",10.7668199969671,10.5263157894737,1.796,14.5308255198942,0.032103501021757,18620.5047789313,909.22308459,2890.625,9.5
"Tunisia",9.33419727126021,63.6006694129763,2.044,0.912673953663991,0.000736968038,7361.40337456853,246.21716072,449.8189,8
"Turkey",7.82662298019941,50.8322180788171,2.147,1.38884019495309,0.000408588874274,8456.75389653093,623.77323607,2889.0272,8
"Turkmenistan",27.2348577263321,69.399697827336,2.482,4.4937471484606,0.013909086417604,5726.43628207836,83.6494936,5045.458,11.4
"Ukraine",7.55334756080281,71.2766691983705,1.384,2.94314450194776,0.001767466086839,6730.01074147509,259.64421464,2997.373,12
"United Arab Emirates",2.65319822267685,6.80622009569378,1.948,9.39784694511008,0.030131013757401,35246.6937703782,1526.89647496,35.306,9.3
"United Kingdom",2.59087232315782,73.0955234985326,1.871,3.39436448025191,0.002722567883522,32623.5160500435,3801.44539817,2429.26,13
"United States",3.6322684014018,44.2049233554379,2.074,7.48793030309585,0.005579862997973,42226.580034574,7719.62742794,10074.58,13.7
"Uruguay",7.8640082611804,85.0759913152783,2.107,1.24567553235522,0.000413863316644,10920.6417529365,720.56841515,41726.76,9.4
"Uzbekistan",18.6303073241616,62.5763986835919,2.457,1.84971962479901,0.002313162208795,2428.749951047,57.40209764,1868.385,11.8
"Venezuela",8.15838937387745,24.2049770421178,2.531,2.51181449794165,0.007412662147017,11862.3220001628,598.30683221,45351.788,8.5
"Vietnam",5.25792554954159,33.0248008514206,1.862,0.575456290537262,0.000830691957149,2577.73250955309,70.09052721,10338.159,8
"Zambia",105.545396226137,31.0563768681311,5.881,0.617251413049133,0.00056819834095,1302.85927025632,72.58389754,8994.4,7.4
