"Country","Pneumonia","Agriculture_Land","Energy_Consumption_per_Person","Energy_Production_per_Person","GDP_per_Person","Health_Spending_per_Person","Water_per_Person","Years_in_School"
"Luxembourg",0,50.5791505791506,8.6097963777755,0.000208005242604,73998.7104751099,8054.81635894,6719.3,11.5
"Macedonia, FYR",0.62941150024727,42.1323820848197,1.4668213380209,0.000791222416888,8601.9909002895,326.64042808,3142.83,10.6
"Malaysia",0.17797698285428,23.9537361132248,2.65458089460231,0.003385857389031,12969.6741467774,306.35306225,22210.53,8.2
"Mexico",1.90174945329585,52.9344890557885,1.63692824866747,0.00210930015033,11870.9570323346,597.703288,4340.3532,8.2
"Moldova",2.67076183481338,75.4332623897841,0.798450858755774,2.7942875205e-05,2769.37034345943,193.56839177,3039.625,11.2
"Mongolia",9.9117611507313,74.5545714359278,1.18311481199067,0.001914705447926,3300.27451367588,120.31288077,13360.82,9
"Morocco",3.41557210059231,67.1767869146314,0.478550723684498,2.0217165532e-05,4011.37704345564,147.36903771,939.94,4.6
"Mozambique",16.0559224825128,62.3744245784481,0.420605250549638,0.000516198836694,872.109691194885,18.09859681,10352.646,3.5
"Myanmar",14.0344924301414,18.7859591137226,0.318153625007579,0.00048660132742,1445.05661058846,10.65229369,21612.6118,5
"Namibia",3.91549343729252,47.1377036038334,0.738270658991775,0.000147017253963,5025.94060935855,275.23664539,8656.0097,6.8
"Netherlands",0.064838929293148,57.1386255924171,4.8371668932826,0.004035977309457,37692.2980578829,5236.86553894,5555.89,11.7
"New Zealand",0.17164140677297,43.1962325775702,4.07914216777156,0.003503843907009,25160.5345750121,2820.19798906,78993.42,12.4
"Nicaragua",4.08658998356791,42.7621738407844,0.540914089187318,0.000300124548028,2904.07317946706,105.21340786,35552.613,5.6
"Nigeria",26.7711229408918,85.0928335364582,0.738125378611314,0.001514915681224,2100.10575071392,79.29829413,1977.61,6.6
"Norway",0,3.35221134644973,6.25002516666625,0.045823006642242,48321.9058439174,8070.92644725,81822.22,13.5
"Oman",0.37478205608695,5.7092084006462,6.02556956620172,0.024056725862289,24358.5450044704,479.01366884,549.81,6.6
"Pakistan",9.78483701588048,34.0909090909091,0.487399250194058,0.000377815318281,2660.74984002263,22.06499551,1399.687,5.3
"Panama",2.73726530088533,29.9973096583266,0.914719768488769,0.000204879689839,10674.4244869141,493.08817356,45012.407,9.2
"Paraguay",3.44858998217144,52.4465139692927,0.697873694151848,0.001208979843801,4318.76231813703,162.0668094,55853.83,6.8
"Peru",2.41727166882064,16.7421875,0.528553397356276,0.00044437739523,7912.55775926635,256.32945861,69340.29,9.6
"Philippines",6.05823147945636,39.5747392427139,0.44369547787396,0.000254834136361,3228.11859624304,64.67885035,5552.74,8.8
"Poland",0.26596173374813,53.099730458221,2.56761348672429,0.001867107969965,16210.6003726298,972.5138999,1615.09,12.3
"Portugal",0.086014928368679,40.8002623811086,2.29987941534565,0.000421913277137,20601.2286182922,2383.88095707,6494.2,7.5
"Qatar",0.26704052339943,5.52200172562554,15.3104307837772,0.095367656117932,73806.5681349922,1635.51268344,70.6186,7.7
"Romania",3.26303223239156,58.9212701174424,1.83841897937967,0.001340226037197,11590.7804628416,516.84724414,9842.682,12.1
"Russia",0.5603875863149,13.1584362579663,4.85017759070095,0.008758698749887,14756.2168715368,560.70749417,31470.529,12.6
"Saudi Arabia",1.25799367786219,80.7232670757179,5.88824579266753,0.02213965133237,23293.7748532448,581.01746674,99.27,8.3
"Senegal",13.4021232433904,48.3249363735522,0.261036726264755,0.000104380432782,1723.33796731707,65.58605669,3213.92,3.2
"Singapore",0.32271077047196,0,4.92368992023805,6.775468671e-06,44103.9681300732,1434.29888612,136.92,8
"Slovak Republic",0.76431730086805,40.2702702702703,3.38548847284795,0.001179875632753,20044.241683273,1398.66914518,9298.23,12.7
"Slovenia",0,24.428997020854,3.82902574362445,0.00181952677968,26755.7402528574,2257.5292104,15928.381,11.9
"South Africa",3.78064905112673,81.8282872364076,3.02759624111825,0.003284120660682,9385.98429139242,481.77771676,1035.57,8.4
"Spain",0.067171880629462,56.4194065757819,3.05189880014179,0.000674164002695,28204.1788697614,3131.31302629,2540.62,8.9
"Sri Lanka",1.00962840749588,42.1782809759209,0.442296285304447,0.0002477254954,4142.53174537974,67.73599135,2603.15,9.1
"Sudan",10.123761440352,56.8371212121212,0.36427407931,0.000823217208601,2535.41404842076,96.75328571,1710.53,5.5
"Sweden",0.074562180198149,7.53765170346542,5.3799591025113,0.00359787664049,33563.3383888872,4865.99115069,19166.84,12.3
"Switzerland",0.041341675164678,38.125,3.50133367330594,0.001690749252232,38181.484831268,6998.97074141,7176.58,13.4
"Syria",1.32832500588766,75.6806795905032,1.17385156038036,0.00120615809917,4373.58162307192,89.88517194,865.4875,7.3
"Tajikistan",12.1139834573599,33.7739354101172,0.369288802250525,0.000222377296524,1650.42895299145,43.07761038,2406.685,11.5
"Tanzania",12.4304706010535,39.4558591104087,0.448657102366213,0.000413324728805,1149.13887173643,26.75674493,2439.765,5.6
"Thailand",0.48934146718495,38.6247528822251,1.57695718909635,0.000943237123957,7652.23167390354,158.41721834,6461.5144,7
"Togo",9.05753674483316,62.6034197462769,0.443614905527021,0.00037013074802,897.758461395814,37.45616559,2293.13,5.1
"Trinidad and Tobago",0.85932366172977,10.5263157894737,14.5308255198942,0.032103501021757,18620.5047789313,909.22308459,2890.625,9.5
"Tunisia",1.43650056237469,63.6006694129763,0.912673953663991,0.000736968038,7361.40337456853,246.21716072,449.8189,8
"Turkey",1.85224884670249,50.8322180788171,1.38884019495309,0.000408588874274,8456.75389653093,623.77323607,2889.0272,8
"Turkmenistan",9.86744015831278,69.399697827336,4.4937471484606,0.013909086417604,5726.43628207836,83.6494936,5045.458,11.4
"Ukraine",0.12207430401297,71.2766691983705,2.94314450194776,0.001767466086839,6730.01074147509,259.64421464,2997.373,12
"United Arab Emirates",0.12786497458684,6.80622009569378,9.39784694511008,0.030131013757401,35246.6937703782,1526.89647496,35.306,9.3
"United Kingdom",0.15343347783896,73.0955234985326,3.39436448025191,0.002722567883522,32623.5160500435,3801.44539817,2429.26,13
"United States",0.17868087141706,44.2049233554379,7.48793030309585,0.005579862997973,42226.580034574,7719.62742794,10074.58,13.7
"Uruguay",0.95321312256732,85.0759913152783,1.24567553235522,0.000413863316644,10920.6417529365,720.56841515,41726.76,9.4
"Uzbekistan",6.31312218503069,62.5763986835919,1.84971962479901,0.002313162208795,2428.749951047,57.40209764,1868.385,11.8
"Venezuela",1.31991144897874,24.2049770421178,2.51181449794165,0.007412662147017,11862.3220001628,598.30683221,45351.788,8.5
"Vietnam",0.65606914165403,33.0248008514206,0.575456290537262,0.000830691957149,2577.73250955309,70.09052721,10338.159,8
"Zambia",18.7992655787991,31.0563768681311,0.617251413049133,0.00056819834095,1302.85927025632,72.58389754,8994.4,7.4
