"Country","Total","Diarrhoea","HIV","Infections","Injury","Malaria","Measles","Meningitis","NCD","Pertussis","Pneumonia","Agriculture_Land"
"Barbados",4.19727177334732,0,0.34977264777894,1.74886323889472,0.69954529555789,0,0,0,1.04931794333683,0,0.34977264777894,44.1860465116279
"Belarus",6.42749597632521,0.051918384299881,0,0.76839208763823,1.98328228025544,0,0,0.2595919214994,3.2604745340325,0,0.10383676859976,43.9477575160177
"Belgium",2.48848236204056,0.06725628005515,0,0.49601506540673,0.45397989037226,0,0,0.16814070013788,1.24424118102028,0.016814070013788,0.042035175034469,45.3434610303831
"Belize",11.0289172831204,1.34498991257566,0.80699394754539,2.15198386012105,2.01748486886348,0,0,0.13449899125757,2.55548083389375,0,2.01748486886348,6.66374397194213
"Benin",82.2726288499915,14.5309199014496,1.55082310667907,11.2829696214236,2.51350386535344,26.8175354202145,0.28675597066896,2.94656390269024,1.87269205334831,4.06432697203251,16.4065380361313,30.6906526848671
"Bhutan",45.8429404584295,10.9182151091822,0,9.2228400922284,2.78041502780415,0,0,2.9838600298386,4.068900040689,0.47470500474705,15.3940051539401,13.0763219588434
"Bolivia",29.1606097737323,7.87713196288996,0.10655057727581,5.87169788344889,1.49170808186129,0.011416133279551,0,1.36613061578623,2.80836878676946,0.99700897308076,8.6305967593403,33.9878150096926
"Bosnia and Herzegovina",6.60613468366218,0.174611489436,0,1.33868808567604,0.93126127699203,0,0,0.087305744718002,2.64827425644607,0,1.42599383039404,41.7647058823529
"Botswana",14.9734205900417,2.0755236461444,0,2.5414575258911,1.5036957028189,0.31768219073639,0,2.94385496749052,3.43096765995298,0,2.16023889700743,45.6160782030244
"Brazil",10.7937164357063,1.11889030816829,0.047989250407909,4.04430213001415,0.86058575228142,0.012238869231547,0,0.29888606965463,2.7299119896472,0.01159471821936,1.66931734808182,31.290561291436
"Brunei",3.34405144694534,0.12861736334405,0,0.51446945337621,0.77170418006431,0,0,0.12861736334405,1.67202572347267,0,0.12861736334405,2.08728652751423
"Bulgaria",6.35566989035782,0.19259605728357,0,1.19684692740504,0.57778817185071,0,0,0.17883919604903,2.17358407505744,0,2.03601546271203,46.9662093729859
"Burkina Faso",126.768203688186,30.1336870203167,1.38043363652003,23.7975659972142,4.05528393924427,33.1234704240359,0.04855796711377,1.95203027797355,4.184309394718,1.13348168948429,26.9593833415651,45.1754385964912
"Burundi",119.358883812105,37.1618213003935,3.94571844506263,22.895977168884,6.13297972008821,14.9252655702734,1.78007754507848,3.69348073624584,4.06463050779054,0.56573314691766,24.1931996713703,85.2803738317757
"Cambodia",58.3670080265707,5.87600332133961,0.29615278162192,15.3362856352062,3.03072239136452,0.6947135344589,0.47605867699972,3.19125380570163,5.80404096318849,0.033213396069748,23.62856352062,31.4695218672105
"Cameroon",95.8742671666522,20.0756225799993,6.19349782120073,14.978268802349,2.32291665187629,24.1918422461298,1.02089063123414,3.41480106831448,2.33569553321302,0.95415647314234,20.3865753591931,19.4897505870407
"Canada",2.52332875490293,0.002832018804605,0,0.74765296441568,0.33134620013877,0,0,0.042480282069073,1.37636113903796,0,0.022656150436839,7.43387316888638
