"Country","Pertussis","Agriculture_Land"
"Saudi Arabia",0,80.7232670757179
"Senegal",0.74432610840791,48.3249363735522
"Serbia",0,57.8092842442259
"Sierra Leone",4.70487021279456,47.6682490924323
"Singapore",0,0
"Slovak Republic",0,40.2702702702703
"Slovenia",0,24.428997020854
"Solomon Islands",0.06426735218509,3.03679885673455
"Somalia",7.56558229183266,70.1804444161061
"South Africa",0.000916298849037,81.8282872364076
"Spain",0.002035511534226,56.4194065757819
"Sri Lanka",0.016416722073104,42.1782809759209
"Sudan",0.91360773973908,56.8371212121212
"Suriname",0,0.455128205128205
"Swaziland",0.4851598173516,71.1627906976744
"Sweden",0,7.53765170346542
"Switzerland",0,38.125
"Syria",0.001694292099347,75.6806795905032
"Tajikistan",0.046672025306609,33.7739354101172
"Tanzania",0.8507524953807,39.4558591104087
