"Country","Meningitis","Health_Spending_per_Person"
"Tonga",0,206.86163349
"Trinidad and Tobago",0,909.22308459
"Tunisia",0.92914078928065,246.21716072
"Turkey",0.52370351853102,623.77323607
"Turkmenistan",1.14758690485872,83.6494936
"Uganda",2.79810839412049,45.31764489
"Ukraine",0.33134453946379,259.64421464
"United Arab Emirates",0.063932487293418,1526.89647496
"United Kingdom",0.092867631323579,3801.44539817
"United States",0.036600025824614,7719.62742794
"Uruguay",0.13901024704107,720.56841515
"Uzbekistan",1.13863927184922,57.40209764
"Vanuatu",1.27370506651571,110.77253678
"Venezuela",0.17543126853515,598.30683221
"Vietnam",0.47866269008432,70.09052721
"Zambia",2.8167560114145,72.58389754
