"Country","NCD","GDP_per_Person"
"Pakistan",2.44391392731141,2660.74984002263
"Panama",3.70671342828222,10674.4244869141
"Papua New Guinea",3.95352433979043,1904.76281601853
"Paraguay",2.24483687518707,4318.76231813703
"Peru",2.95426068764153,7912.55775926635
"Philippines",2.88174126409282,3228.11859624304
"Poland",1.61457577760226,16210.6003726298
"Portugal",1.08952242600327,20601.2286182922
"Qatar",2.33660457974498,73806.5681349922
"Romania",1.80239226609864,11590.7804628416
"Russia",2.39038307603605,14756.2168715368
"Rwanda",2.7195557397266,1001.28001142359
"Saint Lucia",0.98846787479407,10626.2415661953
"Saint Vincent and the Grenadines",1.04329681794471,7264.52969676163
"Samoa",3.79867046533713,5220.46188785014
"Sao Tome and Principe",9.52195880295375,1746.87152047107
"Saudi Arabia",3.59789578123439,23293.7748532448
