"Country","Total","Energy_Consumption_per_Person"
"Slovak Republic",4.20374515477425,3.38548847284795
"Slovenia",1.0270631130283,3.82902574362445
"South Africa",46.9484041281096,3.02759624111825
"Spain",2.23295615304604,3.05189880014179
"Sri Lanka",8.40809782177459,0.442296285304447
"Sudan",66.224986708705,0.36427407931
"Sweden",1.53784496658682,5.3799591025113
"Switzerland",1.65366700658711,3.50133367330594
"Syria",8.35624863397699,1.17385156038036
"Tajikistan",40.0031114683538,0.369288802250525
"Tanzania",65.3261622481544,0.448657102366213
"Thailand",4.16042619799083,1.57695718909635
"Togo",60.9397840668199,0.443614905527021
"Trinidad and Tobago",10.7668199969671,14.5308255198942
"Tunisia",9.33419727126021,0.912673953663991
"Turkey",7.82662298019941,1.38884019495309
"Turkmenistan",27.2348577263321,4.4937471484606
"Ukraine",7.55334756080281,2.94314450194776
"United Arab Emirates",2.65319822267685,9.39784694511008
"United Kingdom",2.59087232315782,3.39436448025191
"United States",3.6322684014018,7.48793030309585
"Uruguay",7.8640082611804,1.24567553235522
"Uzbekistan",18.6303073241616,1.84971962479901
"Venezuela",8.15838937387745,2.51181449794165
"Vietnam",5.25792554954159,0.575456290537262
"Zambia",105.545396226137,0.617251413049133
"Zimbabwe",65.7274633567737,0.744783277060522
