"Country","Diarrhoea","Agriculture_Land"
"Peru",1.08054671065488,16.7421875
"Philippines",2.17013947126779,39.5747392427139
"Poland",0.016118892954432,53.099730458221
"Portugal",0,40.8002623811086
"Qatar",0.13352026169971,5.52200172562554
"Romania",0.14980922731209,58.9212701174424
"Russia",0.11841908579172,13.1584362579663
"Rwanda",22.4412975457002,81.0701256586948
"Saint Lucia",0,18.0327868852459
"Saint Vincent and the Grenadines",0.52164840897235,25.6410256410256
"Samoa",1.89933523266857,23.321554770318
"Sao Tome and Principe",13.6027982899339,57.2916666666667
"Saudi Arabia",1.01079707359856,80.7232670757179
"Senegal",14.9226751505665,48.3249363735522
"Serbia",0.026196983853926,57.8092842442259
"Sierra Leone",38.9787295058094,47.6682490924323
"Singapore",0,0
"Slovak Republic",0.018198030973049,40.2702702702703
"Slovenia",0,24.428997020854
