"Country","Pneumonia","GDP_per_Person"
"Liberia",19.5826314160965,437.713601161059
"Libya",0.899415380003,11787.4844297538
"Lithuania",0.2864782276547,17445.1557543887
"Luxembourg",0,73998.7104751099
"Macedonia, FYR",0.62941150024727,8601.9909002895
"Madagascar",19.3689485677368,1089.08820974261
"Malawi",10.4284640440992,769.4260960504
"Malaysia",0.17797698285428,12969.6741467774
"Maldives",3.14410480349345,5654.0258050368
"Mali",25.1369042131465,1078.48845139799
"Malta",0.54347826086957,22214.5263028362
"Mauritania",16.5891702636113,1822.58284007474
"Mauritius",1.05018792836613,11617.6084152851
"Mexico",1.90174945329585,11870.9570323346
"Micronesia, Fed. Sts.",10.0430416068867,5330.06601704576
"Moldova",2.67076183481338,2769.37034345943
"Mongolia",9.9117611507313,3300.27451367588
"Montenegro",0.39562178557299,9809.7045983702
"Morocco",3.41557210059231,4011.37704345564
"Mozambique",16.0559224825128,872.109691194885
"Myanmar",14.0344924301414,1445.05661058846
"Namibia",3.91549343729252,5025.94060935855
"Nepal",5.23004975858681,1138.86976511345
"Netherlands",0.064838929293148,37692.2980578829
"New Zealand",0.17164140677297,25160.5345750121
"Nicaragua",4.08658998356791,2904.07317946706
"Niger",28.4746483041951,643.805349299792
"Nigeria",26.7711229408918,2100.10575071392
"Norway",0,48321.9058439174
"Oman",0.37478205608695,24358.5450044704
"Pakistan",9.78483701588048,2660.74984002263
"Panama",2.73726530088533,10674.4244869141
"Papua New Guinea",13.4458492827592,1904.76281601853
"Paraguay",3.44858998217144,4318.76231813703
"Peru",2.41727166882064,7912.55775926635
"Philippines",6.05823147945636,3228.11859624304
"Poland",0.26596173374813,16210.6003726298
"Portugal",0.086014928368679,20601.2286182922
"Qatar",0.26704052339943,73806.5681349922
"Romania",3.26303223239156,11590.7804628416
"Russia",0.5603875863149,14756.2168715368
"Rwanda",13.8186185351619,1001.28001142359
"Saint Lucia",0,10626.2415661953
"Saint Vincent and the Grenadines",0,7264.52969676163
"Samoa",3.79867046533713,5220.46188785014
"Sao Tome and Principe",22.1531286436067,1746.87152047107
"Saudi Arabia",1.25799367786219,23293.7748532448
"Senegal",13.4021232433904,1723.33796731707
"Serbia",0.34929311805234,9877.97205855904
"Sierra Leone",31.2717040143745,861.047791368196
"Singapore",0.32271077047196,44103.9681300732
"Slovak Republic",0.76431730086805,20044.241683273
"Slovenia",0,26755.7402528574
"Solomon Islands",7.32647814910026,1892.28908676618
"Somalia",33.0042520039561,942.286156914339
"South Africa",3.78064905112673,9385.98429139242
"Spain",0.067171880629462,28204.1788697614
"Sri Lanka",1.00962840749588,4142.53174537974
"Sudan",10.123761440352,2535.41404842076
"Suriname",2.45549416820135,8075.17601107188
"Swaziland",7.56278538812785,5121.00236505638
"Sweden",0.074562180198149,33563.3383888872
"Switzerland",0.041341675164678,38181.484831268
"Syria",1.32832500588766,4373.58162307192
"Tajikistan",12.1139834573599,1650.42895299145
"Tanzania",12.4304706010535,1149.13887173643
"Thailand",0.48934146718495,7652.23167390354
"Togo",9.05753674483316,897.758461395814
"Tonga",2.09716882209018,4752.19906970046
"Trinidad and Tobago",0.85932366172977,18620.5047789313
"Tunisia",1.43650056237469,7361.40337456853
"Turkey",1.85224884670249,8456.75389653093
"Turkmenistan",9.86744015831278,5726.43628207836
"Uganda",16.0620018790516,1150.60180988239
"Ukraine",0.12207430401297,6730.01074147509
"United Arab Emirates",0.12786497458684,35246.6937703782
"United Kingdom",0.15343347783896,32623.5160500435
"United States",0.17868087141706,42226.580034574
"Uruguay",0.95321312256732,10920.6417529365
"Uzbekistan",6.31312218503069,2428.749951047
"Vanuatu",6.22700254741013,3945.41216428879
"Venezuela",1.31991144897874,11862.3220001628
"Vietnam",0.65606914165403,2577.73250955309
"Yemen, Rep.",8.73684596313973,2295.80616983779
"Zambia",18.7992655787991,1302.85927025632
"Zimbabwe",11.3477505718885,408.134473316796
