"Country","Meningitis","Agriculture_Land"
"Papua New Guinea",3.1802188454549,2.62774367354149
"Paraguay",0.48150124279375,52.4465139692927
"Peru",0.75703956475973,16.7421875
"Philippines",1.10966942048957,39.5747392427139
"Poland",0.048356678863296,53.099730458221
"Portugal",0.047786071315933,40.8002623811086
"Qatar",0,5.52200172562554
"Romania",0.070223075302544,58.9212701174424
"Russia",0.18054057342016,13.1584362579663
"Rwanda",2.86595518191992,81.0701256586948
"Saint Lucia",0,18.0327868852459
"Saint Vincent and the Grenadines",0,25.6410256410256
"Samoa",0.71225071225071,23.321554770318
"Sao Tome and Principe",3.49786241741158,57.2916666666667
"Saudi Arabia",0.079576989043772,80.7232670757179
"Senegal",0.98038381707442,48.3249363735522
"Serbia",0.078590951561777,57.8092842442259
"Sierra Leone",2.78259466870992,47.6682490924323
"Singapore",0.026892564205997,0
