"Country","Pneumonia","Health_Spending_per_Person"
"Solomon Islands",7.32647814910026,72.22520387
"South Africa",3.78064905112673,481.77771676
"Spain",0.067171880629462,3131.31302629
"Sri Lanka",1.00962840749588,67.73599135
"Sudan",10.123761440352,96.75328571
"Suriname",2.45549416820135,403.79343468
"Swaziland",7.56278538812785,162.10472067
"Sweden",0.074562180198149,4865.99115069
"Switzerland",0.041341675164678,6998.97074141
"Syria",1.32832500588766,89.88517194
"Tajikistan",12.1139834573599,43.07761038
"Tanzania",12.4304706010535,26.75674493
"Thailand",0.48934146718495,158.41721834
"Togo",9.05753674483316,37.45616559
"Tonga",2.09716882209018,206.86163349
"Trinidad and Tobago",0.85932366172977,909.22308459
"Tunisia",1.43650056237469,246.21716072
"Turkey",1.85224884670249,623.77323607
"Turkmenistan",9.86744015831278,83.6494936
