"Country","Total","Energy_Production_per_Person"
"Georgia",11.8833135278108,0.000245451884812
"Germany",1.88766515192926,0.001619068047682
"Ghana",42.3679636226645,0.000294805842253
"Greece",1.71524978910863,0.000873416894214
"Guatemala",23.5208610398045,0.000393332961309
"Haiti",45.5077896216469,0.000204309384684
"Honduras",15.0340125928462,0.00028455476039
"Hungary",3.08322684030102,0.001047357353696
"Iceland",1.73047804455981,0.014018708194653
"India",30.6938969879138,0.000393236635946
"Indonesia",22.0145042867794,0.001378172511551
"Iran",13.9976046109078,0.004769087429561
"Iraq",19.566552973328,0.003955705711546
"Ireland",2.25756501353092,0.000348353475618
"Israel",2.40900122951992,0.000549924820129
"Italy",1.98571166880381,0.000450335597824
"Jamaica",22.8435114503817,0.000181491110113
"Japan",2.28167406590643,0.000700872285069
"Jordan",6.86367604978555,4.7101087511e-05
"Kazakhstan",15.1019174012213,0.009084521867771
"Kenya",92.2099286862794,0.000393453557051
"Korea, Dem. Rep.",27.1196283391405,0.000862664643262
"Korea, Rep.",3.14835110092657,0.000937088488652
"Kuwait",5.07466733812392,0.060153133536157
"Kyrgyzstan",21.1040985855764,0.000228701232719
"Latvia",4.06416187470275,0.000787664923974
"Lebanon",5.47492303259172,3.9791068452e-05
"Libya",7.29752933320614,0.016349233123348
"Lithuania",3.81970970206264,0.001146803722485
"Luxembourg",1.6507703595011,0.000208005242604
"Macedonia, FYR",4.54075439464101,0.000791222416888
"Malaysia",3.21629833300946,0.003385857389031
"Malta",4.89130434782609,2.191107053e-06
"Mexico",10.5601765073415,0.00210930015033
"Moldova",9.90407513743295,2.7942875205e-05
"Mongolia",27.2371973085136,0.001914705447926
"Morocco",13.1564495994283,2.0217165532e-05
"Mozambique",83.1204599206616,0.000516198836694
"Myanmar",73.0046621463918,0.00048660132742
"Namibia",23.6802233533648,0.000147017253963
"Nepal",19.4661167393025,0.00029900930478
"Netherlands",1.7776673114538,0.004035977309457
"New Zealand",1.99104031856645,0.003503843907009
"Nicaragua",14.8889047653068,0.000300124548028
"Nigeria",129.142374815297,0.001514915681224
"Norway",1.89429816253078,0.045823006642242
"Oman",4.36702569701315,0.024056725862289
"Pakistan",33.8651558358165,0.000377815318281
"Panama",13.1018063099668,0.000204879689839
"Paraguay",12.8769048579571,0.001208979843801
"Peru",11.6938801315705,0.00044437739523
"Philippines",17.8781564191089,0.000254834136361
"Poland",2.91214666043403,0.001867107969965
"Portugal",1.81587071000545,0.000421913277137
"Qatar",4.33940850524067,0.095367656117932
"Romania",6.54947215655064,0.001340226037197
"Russia",4.89853813903436,0.008758698749887
"Saudi Arabia",9.35791528606234,0.02213965133237
"Senegal",69.9624008982953,0.000104380432782
"Serbia",2.82927425622397,0.001096556573482
"Singapore",1.69423154497781,6.775468671e-06
"Slovak Republic",4.20374515477425,0.001179875632753
"Slovenia",1.0270631130283,0.00181952677968
"South Africa",46.9484041281096,0.003284120660682
"Spain",2.23295615304604,0.000674164002695
"Sri Lanka",8.40809782177459,0.0002477254954
"Sudan",66.224986708705,0.000823217208601
"Sweden",1.53784496658682,0.00359787664049
"Switzerland",1.65366700658711,0.001690749252232
"Syria",8.35624863397699,0.00120615809917
"Tajikistan",40.0031114683538,0.000222377296524
"Tanzania",65.3261622481544,0.000413324728805
"Thailand",4.16042619799083,0.000943237123957
"Togo",60.9397840668199,0.00037013074802
"Trinidad and Tobago",10.7668199969671,0.032103501021757
"Tunisia",9.33419727126021,0.000736968038
"Turkey",7.82662298019941,0.000408588874274
"Turkmenistan",27.2348577263321,0.013909086417604
"Ukraine",7.55334756080281,0.001767466086839
"United Arab Emirates",2.65319822267685,0.030131013757401
"United Kingdom",2.59087232315782,0.002722567883522
"United States",3.6322684014018,0.005579862997973
"Uruguay",7.8640082611804,0.000413863316644
"Uzbekistan",18.6303073241616,0.002313162208795
"Venezuela",8.15838937387745,0.007412662147017
"Vietnam",5.25792554954159,0.000830691957149
"Yemen, Rep.",34.9402903375686,0.000674913790608
"Zambia",105.545396226137,0.00056819834095
"Zimbabwe",65.7274633567737,0.000685276997397
