"Country","Total","GDP_per_Person"
"Equatorial Guinea",99.0264921800192,15059.5907096556
"Eritrea",39.5783436971282,562.014933000928
"Estonia",2.8869084975524,18983.7765250644
"Ethiopia",64.6082073266539,765.941212073413
"Fiji",9.27759235164338,4185.99726160958
"Finland",1.50821894594137,33162.4027330664
"France",1.87565348565591,30459.7213215217
"Gabon",48.8051586799848,12453.3906250536
"Gambia",68.2859761686526,739.335423557237
"Georgia",11.8833135278108,4345.65577490643
"Germany",1.88766515192926,33157.2439621593
"Ghana",42.3679636226645,1391.187032899
"Greece",1.71524978910863,27256.4673706908
"Grenada",1.98807157057654,9298.8476250119
"Guatemala",23.5208610398045,5261.71061883662
"Guinea",95.0809723309475,970.901874681017
"Guinea-Bissau",142.406475539757,582.437533438509
"Guyana",37.5128468653648,3669.78460650045
"Haiti",45.5077896216469,1191.83611868498
"Honduras",15.0340125928462,3620.99921333898
"Hungary",3.08322684030102,17922.2716764316
"Iceland",1.73047804455981,37921.9535050198
"India",30.6938969879138,2605.77092476447
"Indonesia",22.0145042867794,3686.60305387481
"Iran",13.9976046109078,11679.1893016507
"Iraq",19.566552973328,3496.68419227387
"Ireland",2.25756501353092,38163.91179621
"Israel",2.40900122951992,26036.3923440958
"Italy",1.98571166880381,27950.9520435783
"Jamaica",22.8435114503817,7274.02173559466
"Japan",2.28167406590643,31079.6707954382
"Jordan",6.86367604978555,5037.16615728507
"Kazakhstan",15.1019174012213,10477.1827452162
"Kenya",92.2099286862794,1436.09866877488
"Korea, Dem. Rep.",27.1196283391405,1584.55230565388
"Korea, Rep.",3.14835110092657,23735.7702933565
"Kuwait",5.07466733812392,45620.5963949171
"Kyrgyzstan",21.1040985855764,2018.20054907352
"Laos",39.8581877716399,2185.00672943914
"Latvia",4.06416187470275,15987.0100149469
"Lebanon",5.47492303259172,12016.9832476878
"Lesotho",39.7324211838846,1625.46860323032
"Liberia",95.6028466325162,437.713601161059
"Libya",7.29752933320614,11787.4844297538
"Lithuania",3.81970970206264,17445.1557543887
"Luxembourg",1.6507703595011,73998.7104751099
"Macedonia, FYR",4.54075439464101,8601.9909002895
"Madagascar",68.5676203447443,1089.08820974261
"Malawi",65.4054956986553,769.4260960504
"Malaysia",3.21629833300946,12969.6741467774
"Maldives",12.7510917030568,5654.0258050368
"Mali",132.644970959712,1078.48845139799
"Malta",4.89130434782609,22214.5263028362
"Mauritania",69.5985624571608,1822.58284007474
"Mauritius",6.79858500994915,11617.6084152851
"Mexico",10.5601765073415,11870.9570323346
"Micronesia, Fed. Sts.",24.0315638450502,5330.06601704576
"Moldova",9.90407513743295,2769.37034345943
"Mongolia",27.2371973085136,3300.27451367588
"Montenegro",3.4287221416326,9809.7045983702
"Morocco",13.1564495994283,4011.37704345564
"Mozambique",83.1204599206616,872.109691194885
"Myanmar",73.0046621463918,1445.05661058846
"Namibia",23.6802233533648,5025.94060935855
"Nepal",19.4661167393025,1138.86976511345
"Netherlands",1.7776673114538,37692.2980578829
"New Zealand",1.99104031856645,25160.5345750121
"Nicaragua",14.8889047653068,2904.07317946706
"Niger",118.97829238121,643.805349299792
"Nigeria",129.142374815297,2100.10575071392
"Norway",1.89429816253078,48321.9058439174
"Oman",4.36702569701315,24358.5450044704
"Pakistan",33.8651558358165,2660.74984002263
"Panama",13.1018063099668,10674.4244869141
"Papua New Guinea",41.8793256776089,1904.76281601853
"Paraguay",12.8769048579571,4318.76231813703
"Peru",11.6938801315705,7912.55775926635
"Philippines",17.8781564191089,3228.11859624304
"Poland",2.91214666043403,16210.6003726298
"Portugal",1.81587071000545,20601.2286182922
"Qatar",4.33940850524067,73806.5681349922
"Romania",6.54947215655064,11590.7804628416
"Russia",4.89853813903436,14756.2168715368
"Rwanda",67.0881647217046,1001.28001142359
"Saint Lucia",3.95387149917628,10626.2415661953
"Saint Vincent and the Grenadines",3.65153886280647,7264.52969676163
"Samoa",14.4824311490978,5220.46188785014
"Sao Tome and Principe",63.3501748931209,1746.87152047107
"Saudi Arabia",9.35791528606234,23293.7748532448
"Senegal",69.9624008982953,1723.33796731707
"Serbia",2.82927425622397,9877.97205855904
"Sierra Leone",146.576870858034,861.047791368196
"Singapore",1.69423154497781,44103.9681300732
"Slovak Republic",4.20374515477425,20044.241683273
"Slovenia",1.0270631130283,26755.7402528574
"Solomon Islands",21.0154241645244,1892.28908676618
"Somalia",131.417528576451,942.286156914339
"South Africa",46.9484041281096,9385.98429139242
"Spain",2.23295615304604,28204.1788697614
"Sri Lanka",8.40809782177459,4142.53174537974
"Sudan",66.224986708705,2535.41404842076
"Suriname",14.6306527521997,8075.17601107188
"Swaziland",63.7842465753425,5121.00236505638
"Sweden",1.53784496658682,33563.3383888872
"Switzerland",1.65366700658711,38181.484831268
"Syria",8.35624863397699,4373.58162307192
"Tajikistan",40.0031114683538,1650.42895299145
"Tanzania",65.3261622481544,1149.13887173643
"Thailand",4.16042619799083,7652.23167390354
"Togo",60.9397840668199,897.758461395814
"Tonga",10.8353722474659,4752.19906970046
"Trinidad and Tobago",10.7668199969671,18620.5047789313
"Tunisia",9.33419727126021,7361.40337456853
"Turkey",7.82662298019941,8456.75389653093
"Turkmenistan",27.2348577263321,5726.43628207836
"Uganda",98.9217628151113,1150.60180988239
"Ukraine",7.55334756080281,6730.01074147509
"United Arab Emirates",2.65319822267685,35246.6937703782
"United Kingdom",2.59087232315782,32623.5160500435
"United States",3.6322684014018,42226.580034574
"Uruguay",7.8640082611804,10920.6417529365
"Uzbekistan",18.6303073241616,2428.749951047
"Vanuatu",18.9640532125672,3945.41216428879
"Venezuela",8.15838937387745,11862.3220001628
"Vietnam",5.25792554954159,2577.73250955309
"Yemen, Rep.",34.9402903375686,2295.80616983779
"Zambia",105.545396226137,1302.85927025632
"Zimbabwe",65.7274633567737,408.134473316796
