"Country","Infections","GDP_per_Person"
"Pakistan",4.97907880015687,2660.74984002263
"Panama",3.53563434697689,10674.4244869141
"Papua New Guinea",7.79105285543054,1904.76281601853
"Paraguay",2.98660906003149,4318.76231813703
"Peru",2.83438240515247,7912.55775926635
"Philippines",4.11306730786863,3228.11859624304
"Poland",0.59371255715491,16210.6003726298
"Portugal",0.27715921363241,20601.2286182922
"Qatar",0.73436143934842,73806.5681349922
"Romania",0.25748460944266,11590.7804628416
"Russia",0.32743200770824,14756.2168715368
"Rwanda",12.8508934087994,1001.28001142359
"Saint Lucia",2.63591433278418,10626.2415661953
"Saint Vincent and the Grenadines",1.56494522691706,7264.52969676163
"Samoa",3.08641975308642,5220.46188785014
"Sao Tome and Principe",10.2992615623785,1746.87152047107
"Saudi Arabia",1.92169962903578,23293.7748532448
